Player_Id,Player_Name,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,total_runs_conceded,balls_bowled,economy_rate,all_rounder_index,Is_Keeper,Country,wickets,Team_Name,Role
52,LRPL Taylor,1017.0,847.0,112.0,120.07083825265644,13.223140495867767,0.0,12.0,0.0,,0,New Zealand,0,Royal Challengers Bangalore,Batsman
52,LRPL Taylor,1017.0,847.0,112.0,120.07083825265644,13.223140495867767,0.0,12.0,0.0,,0,New Zealand,0,Rajasthan Royals,Batsman
52,LRPL Taylor,1017.0,847.0,112.0,120.07083825265644,13.223140495867767,0.0,12.0,0.0,,0,New Zealand,0,Delhi Daredevils,Batsman
52,LRPL Taylor,1017.0,847.0,112.0,120.07083825265644,13.223140495867767,0.0,12.0,0.0,,0,New Zealand,0,Pune Warriors,Batsman
53,AC Gilchrist,2065.0,1554.0,330.0,132.88288288288288,21.23552123552124,0.0,1.0,0.0,,1,Australia,1,Deccan Chargers,Wicketkeeper
53,AC Gilchrist,2065.0,1554.0,330.0,132.88288288288288,21.23552123552124,0.0,1.0,0.0,,1,Australia,1,Kings Xi Punjab,Wicketkeeper
54,Y Venugopal Rao,985.0,865.0,114.0,113.8728323699422,13.179190751445086,1.0,216.0,0.0277777777777777,1856.936416184971,0,India,6,Deccan Chargers,All-Rounder
54,Y Venugopal Rao,985.0,865.0,114.0,113.8728323699422,13.179190751445086,1.0,216.0,0.0277777777777777,1856.936416184971,0,India,6,Delhi Daredevils,All-Rounder
54,Y Venugopal Rao,985.0,865.0,114.0,113.8728323699422,13.179190751445086,1.0,216.0,0.0277777777777777,1856.936416184971,0,India,6,Sunrisers Hyderabad,All-Rounder
55,VVS Laxman,282.0,271.0,38.0,104.0590405904059,14.022140221402212,,,,,0,India,0,Deccan Chargers,Batsman
55,VVS Laxman,282.0,271.0,38.0,104.0590405904059,14.022140221402212,,,,,0,India,0,Kochi Tuskers Kerala,Batsman
56,A Symonds,974.0,781.0,115.0,124.71190781049935,14.7247119078105,21.0,528.0,0.2386363636363636,271.8797634290592,0,Australia,20,Deccan Chargers,Bowler
56,A Symonds,974.0,781.0,115.0,124.71190781049935,14.7247119078105,21.0,528.0,0.2386363636363636,271.8797634290592,0,Australia,20,Mumbai Indians,Bowler
57,RG Sharma,3874.0,2996.0,487.0,129.30574098798397,16.255006675567422,9.0,332.0,0.1626506024096385,372.0602779013994,0,India,15,Deccan Chargers,Batsman
57,RG Sharma,3874.0,2996.0,487.0,129.30574098798397,16.255006675567422,9.0,332.0,0.1626506024096385,372.0602779013994,0,India,15,Mumbai Indians,Batsman
