Batsman_Id,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,Player_Name_batting,Bowler_Id,total_runs_conceded,balls_bowled,economy_rate,Player_Name_bowling,all_rounder_index
81,304.0,285,29,106.66666666666667,10.175438596491228,R Vinay Kumar,81,66.0,2106,0.18803418803418803,R Vinay Kumar,319.24242424242425
82,179.0,160,18,111.87499999999999,11.25,AB Agarkar,82,30.0,791,0.2275600505689001,AB Agarkar,275.65972222222223
83,113.0,109,8,103.6697247706422,7.339449541284404,M Kartik,83,36.0,1165,0.18540772532188843,M Kartik,321.51078831124704
84,37.0,46,3,80.43478260869566,6.521739130434782,I Sharma,84,89.0,1549,0.34473854099418977,I Sharma,185.25484448786847
86,52.0,49,5,106.12244897959184,10.204081632653061,Shoaib Malik,86,4.0,52,0.46153846153846156,Shoaib Malik,161.39455782312925
87,1324.0,1202,149,110.14975041597337,12.396006655574043,MK Tiwary,87,0.0,36,0.0,MK Tiwary,inf
89,326.0,273,36,119.41391941391942,13.186813186813188,R Bhatia,89,28.0,1602,0.10486891385767791,R Bhatia,536.492673992674
90,177.0,124,21,142.74193548387098,16.93548387096774,MF Maharoof,90,19.0,425,0.26823529411764707,MF Maharoof,257.7744765138653
91,15.0,28,0,53.57142857142857,0.0,VY Mahesh,91,32.0,351,0.5470085470085471,VY Mahesh,118.19196428571428
94,166.0,161,17,103.1055900621118,10.559006211180124,DW Steyn,94,62.0,2083,0.1785885741718675,DW Steyn,331.5259133106258
102,36.0,31,4,116.12903225806453,12.903225806451612,Sohail Tanvir,102,10.0,248,0.24193548387096772,Sohail Tanvir,264.73118279569894
104,1400.0,1153,165,121.42237640936686,14.310494362532525,BJ Hodge,104,6.0,234,0.15384615384615385,BJ Hodge,385.7111882046834
106,19.0,42,1,45.23809523809524,2.380952380952381,AB Dinda,106,52.0,1482,0.21052631578947367,AB Dinda,260.1190476190476
109,975.0,712,116,136.93820224719101,16.292134831460675,JA Morkel,109,64.0,1753,0.21905305191100968,JA Morkel,296.72430945692884
112,375.0,325,44,115.38461538461537,13.538461538461538,DB Ravi Teja,112,0.0,18,0.0,DB Ravi Teja,inf
116,22.0,32,1,68.75,3.125,PJ Sangwan,116,34.0,689,0.2960812772133527,PJ Sangwan,203.24754901960785
119,36.0,30,3,120.0,10.0,Joginder Sharma,119,29.0,263,0.6615969581749049,Joginder Sharma,135.57471264367817
120,99.0,76,14,130.26315789473685,18.421052631578945,MS Gony,120,21.0,889,0.14173228346456693,MS Gony,417.9093567251462
121,20.0,30,1,66.66666666666666,3.3333333333333335,M Muralitharan,121,46.0,1536,0.1796875,M Muralitharan,311.5942028985507
124,35.0,49,3,71.42857142857143,6.122448979591836,A Kumble,124,43.0,970,0.26597938144329897,A Kumble,223.69878183831673
126,39.0,40,5,97.5,12.5,MM Patel,126,51.0,1328,0.23042168674698793,MM Patel,265.7434640522876
127,16.0,24,0,66.66666666666666,0.0,CK Kapugedera,127,0.0,17,0.0,CK Kapugedera,inf
131,16.0,45,0,35.55555555555556,0.0,PP Ojha,131,64.0,1909,0.20115243583027761,PP Ojha,266.34548611111114
133,2329.0,2043,324,113.99902104747919,15.859030837004406,SR Tendulkar,133,1.0,36,0.16666666666666666,SR Tendulkar,356.9995105237396
135,1153.0,1047,164,110.12416427889207,15.663801337153775,TM Dilshan,135,1.0,273,0.02197802197802198,TM Dilshan,2330.062082139446
136,291.0,326,28,89.2638036809816,8.588957055214724,A Mishra,136,71.0,2431,0.17523652817770463,A Mishra,329.9605403381434
137,79.0,79,6,100.0,7.59493670886076,AD Mascarenhas,137,4.0,309,0.07766990291262135,AD Mascarenhas,693.75
140,83.0,79,10,105.0632911392405,12.658227848101266,Iqbal Abdulla,140,13.0,892,0.08744394618834081,Iqbal Abdulla,624.326517364492
147,2146.0,1645,322,130.45592705167172,19.574468085106382,DR Smith,147,16.0,465,0.2064516129032258,DR Smith,307.4154635258359
148,99.0,92,12,107.6086956521739,13.043478260869565,SD Chitnis,148,2.0,36,0.3333333333333333,SD Chitnis,203.80434782608694
151,36.0,50,3,72.0,6.0,L Balaji,151,56.0,1530,0.2196078431372549,L Balaji,263.67857142857144
153,67.0,64,7,104.6875,10.9375,RR Powar,153,12.0,427,0.1686182669789227,RR Powar,348.87152777777777
154,1993.0,1634,201,121.97062423500613,12.30110159118727,JP Duminy,154,13.0,666,0.11711711711711711,JP Duminy,487.90838904057995
155,62.0,57,7,108.77192982456141,12.280701754385964,A Flintoff,155,1.0,66,0.09090909090909091,A Flintoff,604.3859649122807
157,604.0,466,88,129.6137339055794,18.88412017167382,JD Ryder,157,7.0,237,0.17721518987341772,JD Ryder,346.94972409564684
158,1001.0,758,131,132.05804749340368,17.282321899736147,KP Pietersen,158,3.0,178,0.10112359550561797,KP Pietersen,560.4734681911463
161,531.0,468,55,113.46153846153845,11.752136752136751,RS Bopara,161,9.0,206,0.2621359223300971,RS Bopara,247.47150997150996
162,3447.0,2360,533,146.0593220338983,22.584745762711865,CH Gayle,162,30.0,554,0.3249097472924188,CH Gayle,226.91854990583803
163,692.0,564,82,122.69503546099291,14.539007092198581,MC Henriques,163,10.0,748,0.08021390374331551,MC Henriques,684.6808510638298
166,268.0,243,25,110.28806584362141,10.2880658436214,KV Sharma,166,27.0,850,0.19058823529411767,KV Sharma,317.4897119341564
167,501.0,432,80,115.97222222222223,18.51851851851852,PC Valthaty,167,2.0,151,0.07947019867549668,PC Valthaty,687.1527777777778
169,194.0,172,20,112.79069767441861,11.627906976744185,AS Raut,169,1.0,30,0.2,AS Raut,306.3953488372093
171,514.0,486,53,105.76131687242798,10.905349794238683,M Manhas,171,0.0,42,0.0,M Manhas,inf
175,121.0,118,13,102.54237288135593,11.016949152542372,DL Vettori,175,10.0,779,0.07702182284980744,DL Vettori,700.4378531073447
177,159.0,144,19,110.41666666666667,13.194444444444445,RE van der Merwe,177,17.0,443,0.23024830699774268,RE van der Merwe,272.3651960784313
